ID, block, element ID, linked transaction ID, initial clock value, final clock value, duration, attributes, actions
1538, CA, 119, -1, 0, 0, 0, 0 50 50 , null
1539, CA, 154, -1, 0, 0, 0, 0 50 50 , null
1540, CA, 120, -1, 0, 0, 0, 0 55 50 , action#0: distance = 55 
1541, CA, 155, -1, 0, 0, 0, 0 55 50 , null
1542, CA, 121, -1, 0, 0, 0, 0 55 50 , null
1543, CA, 146, -1, 0, 0, 0, 30 55 50 , action#0: speed = 30 
1544, CA, 122, -1, 0, 0, 0, 30 55 50 , null
1545, CA, 152, -1, 0, 0, 0, 30 55 50 , null
1546, CA, 123, -1, 0, 0, 0, 30 46 50 , action#0: distance = 46 
1547, CA, 153, -1, 0, 0, 0, 30 46 50 , null
1548, CA, 124, -1, 0, 0, 0, 30 46 50 , null
1549, CA, 125, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
1550, CA, 119, -1, 0, 0, 0, 0 46 50 , null
1551, CA, 154, -1, 0, 0, 0, 0 46 50 , null
1552, CA, 120, -1, 0, 0, 0, 0 49 50 , action#0: distance = 49 
1553, CA, 155, -1, 0, 0, 0, 0 49 50 , null
1554, CA, 121, -1, 0, 0, 0, 0 49 50 , null
1555, CA, 139, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
1556, CA, 119, -1, 0, 0, 0, 0 49 50 , null
1557, CA, 154, -1, 0, 0, 0, 0 49 50 , null
1558, CA, 120, -1, 0, 0, 0, 0 46 50 , action#0: distance = 46 
1559, CA, 155, -1, 0, 0, 0, 0 46 50 , null
1560, CA, 121, -1, 0, 0, 0, 0 46 50 , null
1561, CA, 139, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
1562, CA, 119, -1, 0, 0, 0, 0 46 50 , null
1563, CA, 154, -1, 0, 0, 0, 0 46 50 , null
1564, CA, 120, -1, 0, 0, 0, 0 48 50 , action#0: distance = 48 
1565, CA, 155, -1, 0, 0, 0, 0 48 50 , null
1566, CA, 121, -1, 0, 0, 0, 0 48 50 , null
1567, CA, 139, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
1568, CA, 119, -1, 0, 0, 0, 0 48 50 , null
1569, CA, 154, -1, 0, 0, 0, 0 48 50 , null
1570, CA, 120, -1, 0, 0, 0, 0 46 50 , action#0: distance = 46 
1571, CA, 155, -1, 0, 0, 0, 0 46 50 , null
1572, CA, 121, -1, 0, 0, 0, 0 46 50 , null
1573, CA, 139, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
1574, CA, 119, -1, 0, 0, 0, 0 46 50 , null
1575, CA, 154, -1, 0, 0, 0, 0 46 50 , null
1576, CA, 120, -1, 0, 0, 0, 0 51 50 , action#0: distance = 51 
1577, CA, 155, -1, 0, 0, 0, 0 51 50 , null
1578, CA, 121, -1, 0, 0, 0, 0 51 50 , null
1579, CA, 146, -1, 0, 0, 0, 30 51 50 , action#0: speed = 30 
1580, CA, 122, -1, 0, 0, 0, 30 51 50 , null
1581, CA, 152, -1, 0, 0, 0, 30 51 50 , null
1582, CA, 123, -1, 0, 0, 0, 30 54 50 , action#0: distance = 54 
1583, CA, 153, -1, 0, 0, 0, 30 54 50 , null
1584, CA, 124, -1, 0, 0, 0, 30 54 50 , null
1585, CA, 132, -1, 0, 0, 0, 30 54 50 , action#0: speed = 30 
1586, CA, 122, -1, 0, 0, 0, 30 54 50 , null
1587, CA, 152, -1, 0, 0, 0, 30 54 50 , null
1588, CA, 123, -1, 0, 0, 0, 30 47 50 , action#0: distance = 47 
1589, CA, 153, -1, 0, 0, 0, 30 47 50 , null
1590, CA, 124, -1, 0, 0, 0, 30 47 50 , null
1591, CA, 125, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1592, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1593, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1594, CA, 120, -1, 0, 0, 0, 0 51 50 , action#0: distance = 51 
1595, CA, 155, -1, 0, 0, 0, 0 51 50 , null
1596, CA, 121, -1, 0, 0, 0, 0 51 50 , null
1597, CA, 146, -1, 0, 0, 0, 30 51 50 , action#0: speed = 30 
1598, CA, 122, -1, 0, 0, 0, 30 51 50 , null
1599, CA, 152, -1, 0, 0, 0, 30 51 50 , null
1600, CA, 123, -1, 0, 0, 0, 30 46 50 , action#0: distance = 46 
1601, CA, 153, -1, 0, 0, 0, 30 46 50 , null
1602, CA, 124, -1, 0, 0, 0, 30 46 50 , null
1603, CA, 125, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
1604, CA, 119, -1, 0, 0, 0, 0 46 50 , null
1605, CA, 154, -1, 0, 0, 0, 0 46 50 , null
1606, CA, 120, -1, 0, 0, 0, 0 45 50 , action#0: distance = 45 
1607, CA, 155, -1, 0, 0, 0, 0 45 50 , null
1608, CA, 121, -1, 0, 0, 0, 0 45 50 , null
1609, CA, 139, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
1610, CA, 119, -1, 0, 0, 0, 0 45 50 , null
1611, CA, 154, -1, 0, 0, 0, 0 45 50 , null
1612, CA, 120, -1, 0, 0, 0, 0 47 50 , action#0: distance = 47 
1613, CA, 155, -1, 0, 0, 0, 0 47 50 , null
1614, CA, 121, -1, 0, 0, 0, 0 47 50 , null
1615, CA, 139, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1616, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1617, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1618, CA, 120, -1, 0, 0, 0, 0 52 50 , action#0: distance = 52 
1619, CA, 155, -1, 0, 0, 0, 0 52 50 , null
1620, CA, 121, -1, 0, 0, 0, 0 52 50 , null
1621, CA, 146, -1, 0, 0, 0, 30 52 50 , action#0: speed = 30 
1622, CA, 122, -1, 0, 0, 0, 30 52 50 , null
1623, CA, 152, -1, 0, 0, 0, 30 52 50 , null
1624, CA, 123, -1, 0, 0, 0, 30 50 50 , action#0: distance = 50 
1625, CA, 153, -1, 0, 0, 0, 30 50 50 , null
1626, CA, 124, -1, 0, 0, 0, 30 50 50 , null
1627, CA, 125, -1, 0, 0, 0, 0 50 50 , action#0: speed = 0 
1628, CA, 119, -1, 0, 0, 0, 0 50 50 , null
1629, CA, 154, -1, 0, 0, 0, 0 50 50 , null
1630, CA, 120, -1, 0, 0, 0, 0 47 50 , action#0: distance = 47 
1631, CA, 155, -1, 0, 0, 0, 0 47 50 , null
1632, CA, 121, -1, 0, 0, 0, 0 47 50 , null
1633, CA, 139, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1634, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1635, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1636, CA, 120, -1, 0, 0, 0, 0 53 50 , action#0: distance = 53 
1637, CA, 155, -1, 0, 0, 0, 0 53 50 , null
1638, CA, 121, -1, 0, 0, 0, 0 53 50 , null
1639, CA, 146, -1, 0, 0, 0, 30 53 50 , action#0: speed = 30 
1640, CA, 122, -1, 0, 0, 0, 30 53 50 , null
1641, CA, 152, -1, 0, 0, 0, 30 53 50 , null
1642, CA, 123, -1, 0, 0, 0, 30 47 50 , action#0: distance = 47 
1643, CA, 153, -1, 0, 0, 0, 30 47 50 , null
1644, CA, 124, -1, 0, 0, 0, 30 47 50 , null
1645, CA, 125, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1646, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1647, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1648, CA, 120, -1, 0, 0, 0, 0 55 50 , action#0: distance = 55 
1649, CA, 155, -1, 0, 0, 0, 0 55 50 , null
1650, CA, 121, -1, 0, 0, 0, 0 55 50 , null
1651, CA, 146, -1, 0, 0, 0, 30 55 50 , action#0: speed = 30 
1652, CA, 122, -1, 0, 0, 0, 30 55 50 , null
1653, CA, 152, -1, 0, 0, 0, 30 55 50 , null
1654, CA, 123, -1, 0, 0, 0, 30 45 50 , action#0: distance = 45 
1655, CA, 153, -1, 0, 0, 0, 30 45 50 , null
1656, CA, 124, -1, 0, 0, 0, 30 45 50 , null
1657, CA, 125, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
1658, CA, 119, -1, 0, 0, 0, 0 45 50 , null
1659, CA, 154, -1, 0, 0, 0, 0 45 50 , null
1660, CA, 120, -1, 0, 0, 0, 0 54 50 , action#0: distance = 54 
1661, CA, 155, -1, 0, 0, 0, 0 54 50 , null
1662, CA, 121, -1, 0, 0, 0, 0 54 50 , null
1663, CA, 146, -1, 0, 0, 0, 30 54 50 , action#0: speed = 30 
1664, CA, 122, -1, 0, 0, 0, 30 54 50 , null
1665, CA, 152, -1, 0, 0, 0, 30 54 50 , null
1666, CA, 123, -1, 0, 0, 0, 30 54 50 , action#0: distance = 54 
1667, CA, 153, -1, 0, 0, 0, 30 54 50 , null
1668, CA, 124, -1, 0, 0, 0, 30 54 50 , null
1669, CA, 132, -1, 0, 0, 0, 30 54 50 , action#0: speed = 30 
1670, CA, 122, -1, 0, 0, 0, 30 54 50 , null
1671, CA, 152, -1, 0, 0, 0, 30 54 50 , null
1672, CA, 123, -1, 0, 0, 0, 30 48 50 , action#0: distance = 48 
1673, CA, 153, -1, 0, 0, 0, 30 48 50 , null
1674, CA, 124, -1, 0, 0, 0, 30 48 50 , null
1675, CA, 125, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
1676, CA, 119, -1, 0, 0, 0, 0 48 50 , null
1677, CA, 154, -1, 0, 0, 0, 0 48 50 , null
1678, CA, 120, -1, 0, 0, 0, 0 51 50 , action#0: distance = 51 
1679, CA, 155, -1, 0, 0, 0, 0 51 50 , null
1680, CA, 121, -1, 0, 0, 0, 0 51 50 , null
1681, CA, 146, -1, 0, 0, 0, 30 51 50 , action#0: speed = 30 
1682, CA, 122, -1, 0, 0, 0, 30 51 50 , null
1683, CA, 152, -1, 0, 0, 0, 30 51 50 , null
1684, CA, 123, -1, 0, 0, 0, 30 51 50 , action#0: distance = 51 
1685, CA, 153, -1, 0, 0, 0, 30 51 50 , null
1686, CA, 124, -1, 0, 0, 0, 30 51 50 , null
1687, CA, 132, -1, 0, 0, 0, 30 51 50 , action#0: speed = 30 
1688, CA, 122, -1, 0, 0, 0, 30 51 50 , null
1689, CA, 152, -1, 0, 0, 0, 30 51 50 , null
1690, CA, 123, -1, 0, 0, 0, 30 52 50 , action#0: distance = 52 
1691, CA, 153, -1, 0, 0, 0, 30 52 50 , null
1692, CA, 124, -1, 0, 0, 0, 30 52 50 , null
